distance;la
0.607731765;21.57789507
0.908135445;34.56656383
1.217155094;25.95095387
1.508088414;28.75556858
1.755167473;30.70024464
2.057127572;22.79364119
2.057248635;18.17858629
2.162340358;13.22341145
2.428194135;37.16009439
2.748797675;49.60994485
3.001422845;18.80367444
3.198380283;47.92405734
3.258577315;44.19174511
3.340102895;40.45214085
3.411896979;21.85009712
3.52165386;13.3192736
3.901485272;23.83218968
4.444596389;31.69487831
4.609882814;56.61822922
4.83154206;19.64279068
4.962711572;22.81281501
5.106633102;36.41163782
5.208556899;43.16478197
5.759210148;73.27459946
5.905122016;41.83706812
6.304218776;34.76721758
6.483481864;24.63184102
7.203624074;39.65487715
8.174348867;47.4227882
9.758563191;82.84454543
5.501165898;24.76683938
5.507940197;21.91709845
5.056641459;26.99481865
4.852788895;29.06735751
3.865111129;32.64248705
3.901807614;33.88601036
3.678019524;26.63212435
3.506366141;25.28497409
3.353779058;28.49740933
3.346721315;29.79274611
3.149775324;29.74093264
3.124369338;30.41450777
2.909179034;30.31088083
2.703257333;21.03626943
2.506415271;21.55440415
2.437207817;22.02072539
1.822683416;11.96891192
1.85216154;13.62694301
1.762602843;22.48704663
1.697316357;24.45595855
1.97481699;26.26943005
2.011456786;27.20207254
2.306729327;26.47668394
2.485431004;26.47668394
2.423819836;28.60103627
2.467725234;29.37823834
2.676320752;13.31606218
2.702161351;15.02590674
